iter	Logloss
0	0.6853621087
1	0.6774597168
2	0.6700578547
3	0.6630934112
4	0.6570380594
5	0.6506421355
6	0.6444913384
7	0.6396062942
8	0.6340230306
9	0.6271665404
10	0.6217287544
11	0.6164837792
12	0.6108456566
13	0.6045730487
14	0.5989730731
15	0.5934911715
16	0.5887738701
17	0.5846909504
18	0.5810949624
19	0.5754591235
20	0.5712955501
21	0.5667162006
22	0.5619360995
23	0.5579882771
24	0.5555040009
25	0.5510594374
26	0.5467221007
27	0.5425387013
28	0.5396959473
29	0.5356095502
30	0.5322326868
31	0.5287597552
32	0.5246936513
33	0.5215595271
34	0.5188397258
35	0.5155031373
36	0.5124530922
37	0.5095344595
38	0.5067817013
39	0.5039123224
40	0.5009576707
41	0.4980368063
42	0.4947532083
43	0.4925609251
44	0.4897524775
45	0.4873396685
46	0.4849831717
47	0.4828056284
48	0.4805391273
49	0.4780098013
50	0.4761543533
51	0.4741017348
52	0.4720506733
53	0.469992709
54	0.4683876816
55	0.467098781
56	0.4651839068
57	0.4620999706
58	0.459651973
59	0.4579486977
60	0.4558531054
61	0.453675043
62	0.4520109008
63	0.4504042645
64	0.448730313
65	0.4466379386
66	0.4450538272
67	0.443707265
68	0.4413628611
69	0.4392033272
70	0.4372576759
71	0.4350893708
72	0.4335427057
73	0.4321680393
74	0.4306415895
75	0.4288184497
76	0.4269905869
77	0.4257653165
78	0.4247644126
79	0.4233042918
80	0.4219687066
81	0.4207716442
82	0.4190285092
83	0.4176528308
84	0.4163257832
85	0.414717538
86	0.4135418846
87	0.4119875123
88	0.4104832241
89	0.4090427996
90	0.4077930061
91	0.4061564231
92	0.4049820154
93	0.4038446647
94	0.4025481607
95	0.4014218129
96	0.4000440844
97	0.3983522272
98	0.397392221
99	0.3963760065
100	0.3950240466
101	0.3937990617
102	0.3930357849
103	0.3921955394
104	0.3912782474
105	0.39042443
106	0.3894966281
107	0.3889541626
108	0.3881952714
109	0.3875146723
110	0.3864248367
111	0.3851726817
112	0.3841486302
113	0.38313636
114	0.3819834132
115	0.3812160362
116	0.3804459345
117	0.3798128245
118	0.379132433
119	0.3783962743
120	0.3777672904
121	0.3769840059
122	0.3763217277
123	0.3754181635
124	0.3747129894
125	0.3739943472
126	0.3731996705
127	0.3723737496
128	0.3716114589
129	0.3706944265
130	0.3700687123
131	0.3692843379
132	0.3686727407
133	0.3675904047
134	0.3669003078
135	0.3661944331
136	0.3653868331
137	0.364893803
138	0.3643035889
139	0.3637044478
140	0.3630069032
141	0.3623541748
142	0.3614371423
143	0.3605565441
144	0.3600252372
145	0.3591157303
146	0.358749753
147	0.3580477968
148	0.3574664577
149	0.3568951354
150	0.3563555763
151	0.3557526725
152	0.3552032263
153	0.3545755399
154	0.3538110435
155	0.353314017
156	0.3528030811
157	0.3520443456
158	0.351739066
159	0.351322745
160	0.3509572866
161	0.3504675521
162	0.3499805165
163	0.3494417359
164	0.349139752
165	0.3486605793
166	0.3480420015
167	0.3474578079
168	0.347087419
169	0.3467100234
170	0.346165949
171	0.3455707005
172	0.3445141332
173	0.3438396584
174	0.3428041108
175	0.3425526003
176	0.3420836001
177	0.3415262131
178	0.3412276806
179	0.3408011093
180	0.340267908
181	0.3394584137
182	0.338836125
183	0.3384824999
184	0.3380404622
185	0.3377016029
186	0.3371697251
187	0.3368273365
188	0.3362608929
189	0.3356253436
190	0.335235985
191	0.3349774419
192	0.3341802999
193	0.333731022
194	0.3333582975
195	0.3330758802
196	0.3323662168
197	0.3320675285
198	0.3317152789
199	0.3312158909
200	0.3307753582
201	0.3303841312
202	0.3300354627
203	0.329758936
204	0.3294190906
205	0.3287474704
206	0.3283239352
207	0.3278332924
208	0.3275834168
209	0.3272685615
210	0.3267410694
211	0.3265797622
212	0.3261842014
213	0.3257908724
214	0.3255819982
215	0.3252844778
216	0.3249899936
217	0.324589087
218	0.3242590249
219	0.3238691732
220	0.3232797895
221	0.323043408
222	0.3227000853
223	0.3224195883
224	0.3217473452
225	0.3213680553
226	0.3211092527
227	0.3206962015
228	0.3197554504
229	0.3196195226
230	0.3193788074
231	0.3189989726
232	0.3186207726
233	0.3181615297
234	0.3178557831
235	0.3177191806
236	0.3173221406
237	0.3171158096
238	0.3165830495
239	0.3159005042
240	0.3155666533
241	0.3152290656
242	0.3150069049
243	0.3148174156
244	0.3146157557
245	0.3144340775
246	0.3139353642
247	0.3135964011
248	0.3133244417
249	0.3131016323
250	0.3126929406
251	0.3122464135
252	0.3117339465
253	0.3112559675
254	0.3108264638
255	0.3106133857
256	0.3103542458
257	0.3097968069
258	0.30968343
259	0.3092732592
260	0.3090856643
261	0.3088376571
262	0.3085521776
263	0.3084169764
264	0.3083417983
265	0.3080826065
266	0.3079824642
267	0.3075513515
268	0.3073981668
269	0.3072787953
270	0.3070176053
271	0.306806759
272	0.3064293375
273	0.306301584
274	0.306175699
275	0.305882668
276	0.3057231773
277	0.3054169635
278	0.3051327556
279	0.3048374929
280	0.3046390248
281	0.3044468886
282	0.3040887223
283	0.3038742429
284	0.3035982093
285	0.3033080328
286	0.3030528633
287	0.3028266024
288	0.3026836162
289	0.3025429395
290	0.3023675932
291	0.3018288126
292	0.3013162937
293	0.3010485902
294	0.3008882691
295	0.3005478009
296	0.3001412113
297	0.2999673441
298	0.2998038052
299	0.299441357
300	0.2992032628
301	0.2989421507
302	0.2986818949
303	0.2982927699
304	0.2980686629
305	0.2978760856
306	0.2976785777
307	0.2975013889
308	0.2973318035
309	0.2970881819
310	0.29694081
311	0.2967308979
312	0.2964884959
313	0.2963084007
314	0.296112891
315	0.2958082342
316	0.2954946245
317	0.2953126349
318	0.2951596837
319	0.294638212
320	0.2943965107
321	0.2941654491
322	0.2939310398
323	0.2936676441
324	0.2935159644
325	0.2931508953
326	0.2926900435
327	0.2924159044
328	0.2922326951
329	0.2920972604
330	0.291766264
331	0.2916040745
332	0.2914143776
333	0.2912436764
334	0.2909771407
335	0.2908674227
336	0.2907162621
337	0.2904913247
338	0.2902736015
339	0.2900016162
340	0.2897825436
341	0.2896161242
342	0.2893617591
343	0.2891970265
344	0.2889584911
