iter	Passed	Remaining
0	1	503
1	3	535
2	4	517
3	5	485
4	6	455
5	7	450
6	9	444
7	9	420
8	10	407
9	12	405
10	13	396
11	13	388
12	14	378
13	15	370
14	16	365
15	17	363
16	18	356
17	19	354
18	20	346
19	20	337
20	21	328
21	21	322
22	22	318
23	23	314
24	24	315
25	25	313
26	26	314
27	27	308
28	27	302
29	28	298
30	29	293
31	29	289
32	30	287
33	31	287
34	32	286
35	37	325
36	40	334
37	41	335
38	43	339
39	44	338
40	45	339
41	46	338
42	48	339
43	49	338
44	51	341
45	52	341
46	53	339
47	54	338
48	55	337
49	57	336
50	58	335
51	59	334
52	60	334
53	62	335
54	63	334
55	65	336
56	66	334
57	80	397
58	81	394
59	83	396
60	84	393
61	85	390
62	86	387
63	87	383
64	88	380
65	89	376
66	89	373
67	90	369
68	92	368
69	95	373
70	95	368
71	96	364
72	97	361
73	97	357
74	98	353
75	99	351
76	100	348
77	101	347
78	102	344
79	102	340
80	103	336
81	103	333
82	104	330
83	105	327
84	106	324
85	107	323
86	108	320
87	108	317
88	109	314
89	109	311
90	110	308
91	111	305
92	111	302
93	112	300
94	113	297
95	113	295
96	114	293
97	115	291
98	116	288
99	117	288
100	118	285
101	118	283
102	119	280
103	119	278
104	120	276
105	121	273
106	122	272
107	123	269
108	123	268
109	124	266
110	125	264
111	126	262
112	127	260
113	127	258
114	128	257
115	129	255
116	130	253
117	131	252
118	131	250
119	132	248
120	132	246
121	133	243
122	134	241
123	134	240
124	135	238
125	136	236
126	137	235
127	138	233
128	138	232
129	139	230
130	139	228
131	140	226
132	140	224
133	141	222
134	142	221
135	143	219
136	143	218
137	144	216
138	145	215
139	146	214
140	146	212
141	147	210
142	147	208
143	148	207
144	148	205
145	149	203
146	149	201
147	150	200
148	150	198
149	151	197
150	152	195
151	153	194
152	153	192
153	154	191
154	154	189
155	155	188
156	155	186
157	156	185
158	157	183
159	158	182
160	158	181
161	159	180
162	160	179
163	163	179
164	163	178
165	164	177
166	164	175
167	165	174
168	165	172
169	166	171
170	166	169
171	167	168
172	168	167
173	169	166
174	170	165
175	170	163
176	171	162
177	172	161
178	172	160
179	173	158
180	174	157
181	174	156
182	175	155
183	176	154
184	176	153
185	177	151
186	177	150
187	178	149
188	178	147
189	179	146
190	180	145
191	180	144
192	181	143
193	182	142
194	183	141
195	184	140
196	184	138
197	185	137
198	185	136
199	186	135
200	187	134
201	187	133
202	188	131
203	189	130
204	190	129
205	191	129
206	191	127
207	192	126
208	192	125
209	193	124
210	194	123
211	195	122
212	196	121
213	196	120
214	196	119
215	198	118
216	199	117
217	199	116
218	200	115
219	200	114
220	201	113
221	202	112
222	203	111
223	203	110
224	204	109
225	205	108
226	206	107
227	206	106
228	207	104
229	208	104
230	209	103
231	210	102
232	211	101
233	211	100
234	212	99
235	212	98
236	213	97
237	214	96
238	214	95
239	214	94
240	215	93
241	216	92
242	216	91
243	217	90
244	218	89
245	218	88
246	219	87
247	220	86
248	221	85
249	221	84
250	222	83
251	222	82
252	223	81
253	224	80
254	225	79
255	225	78
256	226	77
257	227	76
258	227	75
259	228	74
260	228	73
261	229	72
262	229	71
263	230	70
264	230	69
265	231	68
266	232	67
267	232	66
268	233	65
269	233	64
270	234	63
271	235	63
272	236	62
273	236	61
274	236	60
275	237	59
276	238	58
277	238	57
278	239	56
279	239	55
280	240	54
281	241	53
282	241	52
283	242	52
284	242	51
285	243	50
286	243	49
287	244	48
288	245	47
289	245	46
290	246	45
291	246	44
292	247	43
293	247	43
294	248	42
295	249	41
296	250	40
297	250	39
298	251	38
299	251	37
300	252	36
301	252	36
302	253	35
303	253	34
304	254	33
305	255	32
306	255	31
307	256	30
308	256	29
309	257	29
310	258	28
311	258	27
312	259	26
313	259	25
314	260	24
315	261	23
316	261	23
317	261	22
318	262	21
319	263	20
320	263	19
321	263	18
322	264	18
323	266	17
324	267	16
325	269	15
326	271	14
327	274	14
328	275	13
329	276	12
330	278	11
331	281	11
332	282	10
333	283	9
334	284	8
335	286	7
336	288	6
337	290	6
338	291	5
339	292	4
340	295	3
341	296	2
342	297	1
343	299	0
344	301	0
